Aftertaste,Overall,Body,Aroma,Flavor,Moisture Percentage,Quality
8.42,8.58,8.25,8.58,8.5,11.8,Alto
7.92,8.5,7.92,8.5,8.5,10.5,Alto
8.08,8.33,7.92,8.33,8.42,10.4,Alto
8.17,8.25,8.17,8.08,8.17,11.8,Alto
8.08,8.25,7.92,8.33,8.33,11.6,Alto
8.25,8.25,7.83,8.33,8.33,10.7,Alto
8.08,8.25,7.83,8.33,8.17,9.1,Alto
8.17,8.08,7.92,8.25,8.25,10.0,Alto
8.25,8.25,7.92,8.08,8.08,10.8,Alto
8.08,8.0,8.0,8.08,8.17,11.0,Alto
8.0,8.0,7.92,8.08,8.25,11.8,Alto
8.0,8.0,8.25,8.08,8.0,11.5,Alto
8.08,8.0,8.0,8.08,8.0,11.9,Alto
8.0,8.0,8.0,7.67,8.17,11.6,Alto
8.08,8.0,8.08,8.08,8.0,10.6,Alto
8.0,8.0,8.0,8.17,8.08,10.2,Alto
7.92,8.08,7.75,8.17,8.08,11.3,Alto
8.0,8.17,7.92,8.0,8.17,10.3,Alto
7.75,8.17,7.83,8.08,8.17,11.0,Alto
7.92,7.92,8.17,8.17,8.0,10.0,Alto
8.08,8.08,7.75,8.0,7.92,11.6,Alto
7.92,7.92,8.0,8.08,8.0,10.4,Alto
7.83,8.08,8.08,7.67,8.0,9.8,Alto
7.92,7.92,8.0,7.83,8.0,10.6,Alto
8.0,8.0,7.83,7.92,7.92,9.1,Alto
7.92,7.92,7.58,8.17,8.08,10.6,Alto
8.0,7.92,7.75,8.0,8.0,10.2,Alto
8.0,8.0,7.67,8.0,7.92,9.3,Alto
7.83,8.08,7.75,8.0,8.0,11.4,Alto
7.83,8.0,7.83,7.92,8.0,10.8,Alto
7.67,8.0,7.67,8.08,8.17,11.3,Alto
7.83,8.0,8.0,7.67,7.83,9.9,Alto
8.0,7.83,7.67,8.0,8.08,12.3,Alto
7.83,7.83,8.0,7.92,7.75,9.4,Alto
7.83,7.92,7.83,8.0,7.92,9.5,Alto
7.83,7.92,7.67,8.25,8.08,11.3,Alto
7.83,8.0,7.92,8.17,7.75,9.2,Alto
7.75,8.0,7.83,7.75,7.92,10.3,Alto
7.83,7.92,7.75,8.0,7.92,10.0,Alto
7.67,7.83,7.92,8.0,8.08,10.5,Alto
7.67,7.92,7.75,8.0,7.92,10.0,Alto
7.75,7.92,7.75,8.0,7.92,11.0,Alto
7.83,7.83,7.67,8.17,8.08,10.1,Alto
7.67,7.83,7.92,7.67,8.08,9.9,Alto
7.75,7.83,8.0,7.67,8.0,11.3,Alto
7.75,7.92,7.75,7.83,7.92,11.7,Alto
7.83,7.83,7.75,7.92,7.92,9.5,Alto
7.75,7.92,7.67,8.0,8.0,9.7,Alto
7.83,7.75,7.58,8.0,8.0,10.7,Alto
7.75,7.83,7.83,7.92,7.75,11.2,Alto
7.67,8.0,7.83,7.83,7.83,9.5,Alto
7.92,7.83,7.75,7.67,7.92,10.4,Alto
7.75,7.83,7.67,7.83,7.92,11.2,Alto
7.75,7.83,7.83,7.83,7.83,10.3,Alto
7.67,7.75,7.67,7.92,8.08,10.0,Alto
7.67,7.92,7.92,7.67,8.0,10.6,Alto
7.67,7.83,7.75,7.83,8.0,10.9,Alto
7.5,8.58,7.83,7.58,7.83,10.0,Alto
7.75,7.92,7.75,7.83,7.83,9.6,Alto
7.67,7.75,7.67,8.17,7.83,11.5,Alto
7.67,8.0,7.83,7.92,7.75,9.9,Alto
7.67,7.92,7.67,8.08,7.83,11.2,Alto
7.67,7.92,7.67,7.83,8.0,10.3,Alto
7.75,7.92,7.58,8.0,7.83,11.6,Alto
7.67,7.92,7.75,7.75,7.83,11.7,Alto
7.83,7.75,7.75,7.75,7.92,11.3,Alto
7.75,7.75,7.75,7.83,7.92,9.8,Alto
7.75,7.83,7.58,7.92,7.83,10.9,Alto
7.75,7.83,7.5,8.08,7.92,10.2,Alto
7.5,7.83,7.75,7.83,8.0,10.1,Alto
7.75,7.75,7.83,7.67,7.83,9.2,Alto
7.75,7.75,7.5,7.92,7.83,10.1,Alto
7.58,7.75,8.0,7.83,7.75,11.0,Alto
7.83,7.67,7.67,7.83,7.83,10.3,Alto
7.75,7.83,7.83,7.75,7.75,11.6,Alto
7.83,7.83,7.67,7.67,7.67,11.5,Alto
7.67,7.75,7.83,7.58,7.92,10.0,Alto
7.58,7.83,7.58,7.92,7.92,12.1,Alto
7.58,7.75,7.75,7.75,7.75,10.2,Alto
7.58,7.75,7.75,7.58,7.92,11.0,Alto
7.83,7.67,7.58,7.83,7.92,10.8,Alto
7.67,7.92,7.75,7.92,7.75,10.6,Alto
7.67,7.67,7.75,7.67,7.83,11.0,Alto
7.67,7.75,7.67,7.67,7.92,11.0,Medio - Alto
7.75,7.67,7.75,7.75,7.75,9.4,Medio - Alto
7.75,7.75,7.75,7.58,7.67,9.8,Medio - Alto
7.5,7.75,7.67,8.0,7.75,11.3,Medio - Alto
7.58,7.75,7.67,7.75,7.58,11.6,Medio - Alto
7.58,7.67,7.67,7.67,7.83,13.3,Medio - Alto
7.58,7.75,7.67,7.67,7.92,9.5,Medio - Alto
7.58,7.75,7.67,7.83,7.83,11.9,Medio - Alto
7.58,7.75,7.67,7.58,7.83,10.0,Medio - Alto
7.58,7.75,7.75,7.75,7.67,11.6,Medio - Alto
7.67,7.75,7.67,7.58,7.83,10.8,Medio - Alto
7.5,7.75,7.75,7.58,7.92,10.9,Medio - Alto
7.5,7.75,7.5,7.83,7.67,12.0,Medio - Alto
7.42,7.58,7.92,7.92,7.75,12.1,Medio - Alto
7.58,7.75,7.58,7.67,7.92,11.8,Medio - Alto
7.67,7.58,7.67,7.67,7.92,10.6,Medio - Alto
7.58,7.75,7.83,7.67,7.67,11.7,Medio - Alto
7.75,7.67,7.5,7.67,7.67,10.0,Medio - Alto
7.67,7.58,7.58,7.83,7.83,10.2,Medio - Alto
7.67,7.67,7.5,7.58,7.75,9.2,Medio - Alto
7.58,7.67,7.67,7.67,7.67,11.1,Medio - Alto
7.5,7.67,7.75,7.58,7.67,8.4,Medio - Alto
7.58,7.67,7.58,7.58,7.75,9.1,Medio - Alto
7.58,7.75,7.58,7.58,7.83,10.9,Medio - Alto
7.58,7.67,7.58,7.75,7.67,11.2,Medio - Alto
7.5,7.58,7.83,7.75,7.75,12.2,Medio - Alto
7.58,7.58,7.67,7.42,7.83,13.1,Medio - Alto
7.42,7.67,7.92,7.42,7.42,10.4,Medio - Alto
7.5,7.67,7.58,7.67,7.67,11.6,Medio - Alto
7.5,7.75,7.58,7.75,7.75,10.1,Medio - Alto
7.67,7.92,7.75,7.75,7.92,10.1,Medio - Alto
7.58,7.67,7.67,7.75,7.67,11.1,Medio - Alto
7.5,7.75,7.5,7.58,7.67,9.7,Medio - Alto
7.58,7.5,7.67,7.5,7.75,11.4,Medio - Alto
7.58,7.75,7.42,7.58,7.67,9.6,Medio - Alto
7.42,7.58,7.5,7.67,7.67,13.5,Medio - Alto
7.42,7.67,7.5,7.58,7.75,0.0,Medio - Alto
7.58,7.5,7.58,7.75,7.83,10.7,Medio - Alto
7.75,7.33,7.58,7.92,7.92,12.3,Medio - Alto
7.42,7.5,7.67,7.92,7.67,10.4,Medio - Alto
7.5,7.67,7.67,7.58,7.5,11.6,Medio - Alto
7.58,7.58,7.42,7.75,7.75,9.6,Medio - Alto
7.58,7.5,7.58,7.67,7.67,10.9,Medio - Alto
7.67,7.5,7.5,7.67,7.75,10.5,Medio - Alto
7.58,7.67,7.5,7.75,7.58,11.3,Medio - Alto
7.5,7.5,7.5,7.75,7.75,9.7,Medio - Alto
7.5,7.67,7.58,7.67,7.67,11.8,Medio - Alto
7.33,7.58,7.58,7.67,7.75,11.8,Medio - Alto
7.5,7.58,7.58,7.67,7.67,10.6,Medio - Alto
7.58,7.5,7.58,7.75,7.58,9.6,Medio - Alto
7.42,7.33,7.58,8.0,7.67,13.1,Medio - Alto
7.58,7.58,7.5,7.5,7.67,8.9,Medio - Alto
7.42,7.5,7.58,7.75,7.5,11.9,Medio - Alto
7.5,7.58,7.58,7.58,7.5,11.5,Medio - Alto
7.5,7.5,7.58,7.67,7.58,10.0,Medio - Alto
7.58,7.42,7.58,7.17,7.92,11.8,Medio - Alto
7.58,7.33,7.67,7.58,7.42,13.3,Medio - Alto
7.25,7.33,7.75,7.33,7.58,10.5,Medio - Alto
7.25,7.42,7.75,7.33,7.5,11.8,Medio - Alto
7.58,7.5,7.33,7.58,7.67,11.8,Medio - Alto
7.58,7.33,7.67,7.33,7.58,13.0,Medio - Alto
7.5,7.58,7.5,7.5,7.58,11.2,Medio - Alto
7.33,7.5,7.58,7.67,7.58,9.6,Medio - Alto
7.42,7.5,7.42,7.67,7.67,9.8,Medio - Alto
7.42,7.5,7.5,7.67,7.58,8.4,Medio - Alto
7.42,7.42,7.5,7.5,7.58,10.1,Medio - Alto
7.17,7.33,7.83,7.67,7.33,11.3,Medio - Alto
7.17,7.42,7.42,7.75,7.67,10.0,Medio - Alto
7.5,7.33,7.67,7.5,7.58,11.8,Medio - Alto
7.5,7.5,7.5,7.33,7.58,11.7,Medio - Alto
7.5,7.33,7.67,7.67,7.42,10.7,Medio - Alto
7.33,7.5,7.58,7.58,7.58,10.6,Medio - Alto
7.58,7.58,7.58,7.42,7.42,8.4,Medio - Alto
7.42,7.42,7.5,7.58,7.58,11.4,Medio - Alto
7.33,7.58,7.5,7.5,7.5,10.5,Medio - Alto
7.42,7.42,7.42,7.5,7.5,12.0,Medio - Alto
7.25,7.17,7.83,7.33,7.67,11.8,Medio - Alto
7.42,7.42,7.33,7.67,7.58,10.8,Medio - Alto
7.33,7.42,7.33,7.67,7.5,11.7,Medio - Alto
7.33,7.33,7.33,7.75,7.42,10.6,Medio - Alto
7.42,7.5,7.25,7.5,7.5,11.2,Medio - Alto
7.25,7.42,7.5,7.67,7.5,10.6,Medio - Alto
7.33,7.5,7.25,7.5,7.67,9.7,Medio - Alto
7.42,7.5,7.42,7.33,7.42,8.1,Medio - Alto
7.42,7.42,7.25,7.5,7.58,8.2,Medio - Alto
7.42,7.42,7.58,7.17,7.5,9.8,Medio - Alto
7.42,7.5,7.58,7.42,7.42,10.5,Medio - Alto
7.33,7.42,7.33,7.5,7.5,11.6,Medio - Alto
7.33,7.42,7.58,7.33,7.42,10.3,Medio - Alto
7.42,7.42,7.42,7.25,7.42,11.3,Medio - Alto
7.25,7.33,7.42,7.5,7.5,11.2,Medio - Alto
7.42,7.42,7.33,7.5,7.5,11.3,Medio - Alto
7.58,7.33,7.33,7.42,7.5,11.1,Medio - Alto
7.33,7.33,7.42,7.33,7.5,11.2,Medio - Alto
7.25,7.33,7.5,7.58,7.42,11.8,Medio - Alto
7.25,7.42,7.42,7.33,7.42,9.7,Medio - Alto
7.33,7.33,7.33,7.42,7.5,9.0,Medio - Alto
7.42,7.33,7.33,7.33,7.5,8.5,Medio - Alto
7.25,7.17,7.5,7.33,7.42,11.6,Medio - Alto
7.33,7.25,7.33,7.42,7.25,10.5,Medio - Alto
7.42,7.17,7.42,7.25,7.25,10.4,Medio - Alto
7.25,7.33,7.17,7.42,7.25,11.4,Medio - Alto
7.33,7.17,7.08,7.42,7.33,10.5,Medio - Alto
7.0,7.17,7.42,7.42,7.17,11.2,Medio - Alto
7.17,7.25,7.0,7.25,7.25,11.0,Medio - Alto
7.17,7.0,7.17,7.5,7.25,11.8,Medio - Alto
7.08,7.0,7.42,7.08,7.25,11.5,Medio - Alto
7.17,7.17,7.17,7.25,7.17,11.6,Medio - Alto
6.92,7.08,7.42,7.17,7.17,11.4,Medio - Alto
6.75,7.08,7.42,7.33,7.08,10.4,Medio - Alto
7.08,7.0,7.08,7.25,7.17,11.6,Medio - Alto
6.75,6.83,7.08,6.5,6.75,11.0,Medio - Alto
6.67,6.67,6.83,7.25,7.08,11.3,Medio - Alto
